video_link,hashtag
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#juminoaesthetic
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#anime
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#moodboard
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#moodboardedit
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#edit
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#japan
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#igari
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#reachtherightaudience
https://www.tiktok.com/@dzh7ga/video/7572906206772186385,#dispatch
https://www.tiktok.com/@dzh7ga/video/7572906206772186385,#corecore
https://www.tiktok.com/@dzh7ga/video/7572906206772186385,#dispatchedit
https://www.tiktok.com/@dzh7ga/video/7572906206772186385,#fyp
https://www.tiktok.com/@dzh7ga/video/7572906206772186385,#losercore
https://www.tiktok.com/@mioshhh.o/video/7612702800094563604,#recommendations
https://www.tiktok.com/@mioshhh.o/video/7612702800094563604,#fyp
https://www.tiktok.com/@mioshhh.o/video/7612702800094563604,#trend
https://www.tiktok.com/@mioshhh.o/video/7612702800094563604,#losercore
https://www.tiktok.com/@mioshhh.o/video/7612702800094563604,#music
https://www.tiktok.com/@frostm0r/video/7610356428842339605,#rickandmorty
https://www.tiktok.com/@frostm0r/video/7610356428842339605,#ricksanchez
https://www.tiktok.com/@frostm0r/video/7610356428842339605,#edit
https://www.tiktok.com/@frostm0r/video/7610356428842339605,#losercore
https://www.tiktok.com/@monkeevilla/video/7531519869917990150,#cute
https://www.tiktok.com/@monkeevilla/video/7531519869917990150,#cutecore
https://www.tiktok.com/@monkeevilla/video/7531519869917990150,#kawaii
https://www.tiktok.com/@jumino.12123/video/7534450453103283469,#juminocore
https://www.tiktok.com/@jumino.12123/video/7534450453103283469,#juminoaesthetic
https://www.tiktok.com/@jumino.12123/video/7534450453103283469,#cute
https://www.tiktok.com/@jumino.12123/video/7534450453103283469,#cleanfyp
https://www.tiktok.com/@marini_nnn/video/7587120086251474183,#donniedarko
https://www.tiktok.com/@marini_nnn/video/7587120086251474183,#alexg
https://www.tiktok.com/@marini_nnn/video/7587120086251474183,#edit
https://www.tiktok.com/@rope_taburet/video/7611429515864116500,#song
https://www.tiktok.com/@rope_taburet/video/7611429515864116500,#lyrics
https://www.tiktok.com/@rope_taburet/video/7611429515864116500,#sad
https://www.tiktok.com/@rope_taburet/video/7611429515864116500,#music
https://www.tiktok.com/@rope_taburet/video/7611429515864116500,#wifiskeleton
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#fypシ゚
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#viral
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#mulherdepreso
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#viraliza
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#jumicore
https://www.tiktok.com/@..cafeteriadanana/video/7525288082426383672,#casinha
https://www.tiktok.com/@timkowe/video/7589453643326262542,#loser
https://www.tiktok.com/@timkowe/video/7589453643326262542,#losercore
https://www.tiktok.com/@timkowe/video/7589453643326262542,#fyp
https://www.tiktok.com/@timkowe/video/7589453643326262542,#recommendations
https://www.tiktok.com/@timkowe/video/7589453643326262542,#core
https://www.tiktok.com/@strxcyy/video/7417166272653200683,#clovers
https://www.tiktok.com/@strxcyy/video/7417166272653200683,#juminocore
https://www.tiktok.com/@strxcyy/video/7417166272653200683,#alightmotion
