video_link,criador,descricao,likes,comentarios,compartilhamentos,salvamentos,visualizacoes,data_publicacao,data_texto_raw,musica,duracao,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,videos_recomendados,hashtags,grupo_origem,timestamp_coleta
https://www.tiktok.com/@apple_soda13/video/7586150342316838164,,"🌸🍡🍥🍀(⁠ ⁠╹⁠▽⁠╹⁠ ⁠)
#moodboard #fyppppppppppppppppppppppp #heiseiretro #juminocore #igari ",9467.0,136.0,711.0,,,· 2025-12-21,· 2025-12-21,,,False,True,True,True,False,False,,"['#moodboard', '#fyppppppppppppppppppppppp', '#heiseiretro', '#juminocore', '#igari']",JUMINO,2026-03-20 07:22:47
https://www.tiktok.com/@17csf/video/7616005922611055893,,#corecore#fyp#edit#losercore#xyzabc @noobmaster3 @Real @• @♱ 𝔏𝔢𝔦𝔩𝔞 ♱,90.0,17.0,4.0,,,· 3-11,· 3-11,,,False,True,True,True,True,False,,"['#corecore', '#fyp', '#edit', '#losercore', '#xyzabc']",LOSER,2026-03-20 07:22:55
https://www.tiktok.com/@jezzuta/video/7598239503978876168,,#love #losercore #corecore #edit #fyp #fyppppppppppppppppppppppp #archive #любовь ,87700.0,1522.0,65000.0,,,· 1-22,· 1-22,оригинальный звук - Jezzut,,False,True,True,True,False,False,,"['#love', '#losercore', '#corecore', '#edit', '#fyp', '#fyppppppppppppppppppppppp', '#archive', '#любовь']",LOSER,2026-03-20 07:23:06
https://www.tiktok.com/@flashesofstyle/video/7610487864685612318,,"Whimsical finds in my home 🌸🐝🍓 all of these are on my like to know! I’m forever a trinket collector and my home is becoming quite the reflection of my personality 🫶🏻 The toilet swans, little fairy door, and chandelier night light are my FAVS!",181700.0,1662.0,20800.0,,,· 2-24,· 2-24,original sound - Walt Disney Animation Studios,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 07:23:16
https://www.tiktok.com/@fairyflossangel/video/7611453864981695757,,#cutecore #fypシ #trinkets #shabbychic #preciousmoments,150.0,3.0,,,,· 2-27,· 2-27,,,False,True,True,True,False,False,,"['#cutecore', '#fypシ', '#trinkets', '#shabbychic', '#preciousmoments']",TRINKET,2026-03-20 07:23:29
https://www.tiktok.com/@shananakneesss/video/7582386266466045192,,#altiktok #losercore #teenager #fyp ,23.0,2.0,,,,· 2025-12-10,· 2025-12-10,take me away - 𝓯,,False,True,True,True,False,False,,"['#altiktok', '#losercore', '#teenager', '#fyp']",LOSER,2026-03-20 07:23:37
https://www.tiktok.com/@disturbonegligente/video/7580879198428957972,,em um vazio indescritível.ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ#kurapika #kurapikaedit #mecore #corecore ,112900.0,369.0,8471.0,,,· 2025-12-6,· 2025-12-6,som original - ️nunes,,False,True,True,True,False,False,,"['#kurapika', '#kurapikaedit', '#mecore', '#corecore']",LOSER,2026-03-20 07:23:45
https://www.tiktok.com/@weerpc/video/7582337079162539277,,#oldbrothercore #2000s #vibe #losercore #Mountaindew ,356.0,2.0,18.0,,,· 2025-12-10,· 2025-12-10,оригинальный звук - !!,,False,True,True,True,True,False,,"['#oldbrothercore', '#2000s', '#vibe', '#losercore', '#Mountaindew']",LOSER,2026-03-20 07:23:54
https://www.tiktok.com/@ani.buny0/video/7603823935846665479,,a new post!#juminocore #heseiretro #cute #fyp idea:@riri ˆ𐃷ˆ  ,27600.0,331.0,1458.0,,,· 2-6,· 2-6,,,False,True,True,True,True,False,,"['#juminocore', '#heseiretro', '#cute', '#fyp']",JUMINO,2026-03-20 07:24:04
https://www.tiktok.com/@nvr_peaceful_/video/7530123073291439390,,#loser #xyzbca #viral #repost #real ,432.0,7.0,35.0,,,· 2025-7-23,· 2025-7-23,original sound - aceteaⒶ,,False,True,True,True,False,False,,"['#loser', '#xyzbca', '#viral', '#repost', '#real']",LOSER,2026-03-20 07:24:13
https://www.tiktok.com/@victor2k.8/video/7495688792838245639,,Loser #nwh #fyp ,9014.0,174.0,1061.0,,,· 2025-4-21,· 2025-4-21,,,False,True,True,True,False,False,,"['#nwh', '#fyp']",LOSER,2026-03-20 07:24:22
https://www.tiktok.com/@rukushitory/video/7602586799281687815,,joe yabaki alone #losercore #corecore #fyp #tomorrowjoe #recommendations ,277.0,5.0,17.0,,,· 2-3,· 2-3,,,False,True,True,True,False,False,,"['#losercore', '#corecore', '#fyp', '#tomorrowjoe', '#recommendations']",LOSER,2026-03-20 07:24:30
https://www.tiktok.com/@_trinket_collection_/video/7588095928616193298,,#2025recap,9.0,0.0,,,,· 2025-12-26,· 2025-12-26,,,False,True,True,True,False,False,,['#2025recap'],TRINKET,2026-03-20 07:24:40
https://www.tiktok.com/@miohto2/video/7572958453229014290,,"Losercore ahh 😂✌️
#fyp #viral #relatable #losercore #gaming ",1161.0,21.0,42.0,,,· 2025-11-15,· 2025-11-15,,,False,True,True,True,False,False,,"['#fyp', '#viral', '#relatable', '#losercore', '#gaming']",LOSER,2026-03-20 07:24:49
